created:2024-07-01 02:30:12 UTC
ephemeris_start:2024-07-01 02:16:42 UTC ephemeris_stop:2024-07-04 02:16:42 UTC step_size:60
ephemeris_source:blend
UVW
2024183021642.000 -707.5079854914 -6309.0163425706 -2607.4200916418 4.6786864307 -2.7340293766 5.3587754167
4.7534878702e-07 -3.7878324724e-07 7.5874520190e-07 -2.1081045160e-10 1.0679385267e-10 1.2038083395e-06 8.2404228368e-10
-8.9310374782e-10 -8.0547178186e-13 1.9373285511e-12 -4.6195610813e-10 3.9889720388e-10 1.0354579387e-12 -8.1461481428e-13
4.9695596241e-13 -7.2272296940e-13 7.0478990718e-14 1.6226099779e-09 -6.3573992037e-16 1.7426816859e-15 5.4702272709e-12
2024183021742.000 -425.4240324403 -6458.9324939446 -2280.3279852155 4.7206306313 -2.2612934618 5.5402504066
5.2536427116e-07 -4.4507886091e-07 8.6541598181e-07 -2.8209240577e-10 2.1844754854e-10 1.4123026014e-06 9.2432946764e-10
-1.0355525471e-09 -1.0090348133e-12 2.1549188503e-12 -5.1271973242e-10 4.6678649581e-10 1.1263099914e-12 -9.1685985913e-13
5.4828674756e-13 -7.6391809673e-13 2.6487416035e-13 1.8473819449e-09 -8.9172992842e-16 1.7859834561e-15 5.2417835821e-12
2024183021842.000 -141.4513120532 -6580.1672930164 -1943.0822135215 4.7416257104 -1.7783437068 5.6971157067
5.7850354846e-07 -5.1937015811e-07 9.9009095520e-07 -3.6085079576e-10 3.5128183204e-10 1.6459357229e-06 1.0322443695e-09
-1.1969698131e-09 -1.2341747856e-12 2.3893356580e-12 -5.6676174282e-10 5.4286634352e-10 1.1954132845e-12 -1.0271048073e-12
6.0305582626e-13 -7.8871633327e-13 4.3660849628e-13 2.0410411063e-09 -1.1024348520e-15 1.7512171777e-15 4.9821891653e-12
2024183021942.000 143.1497631416 -6672.1722866951 -1597.1808958994 4.7415631748 -1.2873259600 5.8286529135
6.3458438263e-07 -6.0196084666e-07 1.1348666037e-06 -4.4520881306e-10 5.0201721762e-10 1.9007674159e-06 1.1477317956e-09
-1.3789945905e-09 -1.4738988387e-12 2.6417533651e-12 -6.2389932965e-10 6.2746265755e-10 1.2332471069e-12 -1.1453007707e-12
6.6108957039e-13 -7.9352666616e-13 5.7140702525e-13 2.2001368070e-09 -1.2498729385e-15 1.6408790674e-15 4.6962969579e-12
2024183022042.000 427.1147714276 -6734.5287697370 -1244.1626187941 4.7204290601 -0.7904273222 5.9342563624
6.9338550511e-07 -6.9309358617e-07 1.3019050716e-06 -5.3446836210e-10 6.6456076734e-10 2.1724712879e-06 1.2706991206e-09
-1.5832763622e-09 -1.7170203027e-12 2.9133511849e-12 -6.8389842483e-10 7.2080803517e-10 1.2301704374e-12 -1.2713085643e-12
7.2214219741e-13 -7.7311764498e-13 6.5400442670e-13 2.3218242915e-09 -1.3137991602e-15 1.4585267633e-15 4.3894446291e-12
2024183022142.000 709.1813738986 -6766.9502746695 -885.5986768857 4.6783043935 -0.2898648344 6.0134366569
7.5464182534e-07 -7.9292987435e-07 1.4934199586e-06 -6.2714935074e-10 8.3144432419e-10 2.4564208014e-06 1.4009882302e-09
-1.8114604168e-09 -1.9502631227e-12 3.2052812950e-12 -7.4647843739e-10 8.2305202621e-10 1.1782072183e-12 -1.4049271966e-12
7.8592097723e-13 -7.2234405633e-13 6.6972685179e-13 2.4039255269e-09 -1.2765850405e-15 1.2096469472e-15 4.0673487627e-12
2024183022242.000 988.0949385782 -6769.2840145116 -523.0861837411 4.6153650185 0.2121240294 6.0658229533
8.1804925451e-07 -9.0154310765e-07 1.7116532734e-06 -7.2130885074e-10 9.9387075604e-10 2.7477700189e-06 1.5383754642e-09
-2.0651728426e-09 -2.1585185355e-12 3.5186626219e-12 -8.1131644493e-10 9.3424832776e-10 1.0710376615e-12 -1.5458843703e-12
8.5208718625e-13 -6.3609282558e-13 6.0460587145e-13 2.4449674875e-09 -1.1230926459e-15 9.0119750321e-16 3.7360045815e-12
2024183022342.000 1262.6142399904 -6741.5118251563 -158.2408678486 4.5318820823 0.7132913454 6.0911662640
8.8326894331e-07 -1.0189109371e-06 1.9588511389e-06 -8.1453553207e-10 1.1420159677e-09 3.0415399683e-06 1.6825682953e-09
-2.3460042233e-09 -2.3254548152e-12 3.8545701431e-12 -8.7805219932e-10 1.0543470180e-09 9.0419938967e-13 -1.6938336131e-12
9.2026192374e-13 -5.0950108867e-13 4.4569339162e-13 2.4442094106e-09 -8.4117517005e-16 5.4134217384e-16 3.4015783596e-12
2024183022442.000 1531.5171545543 -6683.7503868556 207.3103138034 4.4282205396 1.2113923736 6.0893410191
9.4993209894e-07 -1.1449089250e-06 2.2372377368e-06 -9.0398385310e-10 1.2653528445e-09 3.3327074909e-06 1.8332028765e-09
-2.6554925660e-09 -2.4342155035e-12 4.2140239813e-12 -9.4629380986e-10 1.1831884317e-09 6.7521308184e-13 -1.8483525147e-12
9.9003271347e-13 -3.3819739133e-13 1.8133783419e-13 2.4016568395e-09 -4.2208510054e-16 1.3913936772e-16 3.0702964073e-12
2024183022542.000 1793.6062035010 -6596.2507360506 571.9365189228 4.3048360987 1.7041940082 6.0603433256
1.0176453641e-06 -1.2793056739e-06 2.5489878224e-06 -9.8643536233e-10 1.3530094762e-09 3.6162949645e-06 1.9898426357e-09
-2.9951057237e-09 -2.4681472418e-12 4.5979786127e-12 -1.0156239764e-09 1.3204987222e-09 3.8366500523e-13 -2.0089420595e-12
1.0609606456e-12 -1.1854126818e-13 -1.9854723973e-13 2.3180621390e-09 1.3925013734e-16 -2.9574325137e-16 2.7483326917e-12
2024183022642.000 2047.7139190978 -6479.3973780245 934.0103946374 4.1622753407 2.1894830092 6.0042940887
1.0859966632e-06 -1.4217595521e-06 2.8961982448e-06 -1.0582962432e-09 1.3942140351e-09 3.8874592734e-06 2.1519779676e-09
-3.3662236177e-09 -2.4113297040e-12 5.0073123564e-12 -1.0856066735e-09 1.4658872436e-09 3.1281314214e-14 -2.1750271766e-12
1.1325879583e-12 1.5221389703e-13 -7.0218451828e-13 2.1949114520e-09 8.4421526517e-16 -7.5323050635e-16 2.4416972270e-12
2024183022742.000 2292.7083566237 -6333.7066323133 1291.9156270378 4.0011730220 2.6650807317 5.9214399152
1.1545613488e-06 -1.5718170658e-06 3.2808589968e-06 -1.1155907704e-09 1.3786926433e-09 4.1415784106e-06 2.3190269407e-09
-3.7701205599e-09 -2.2490341082e-12 5.4428171691e-12 -1.1557941810e-09 1.6188459459e-09 -3.7817594430e-13 -2.3459585753e-12
1.2044460241e-12 4.7577195205e-13 -1.3357688129e-12 2.0343983284e-09 1.6906146274e-15 -1.2231870803e-15 2.1561273620e-12
2024183022842.000 2527.4981563960 -6159.8242104157 1644.0543638470 3.8222471981 3.1288542359 5.8121487952
1.2229086172e-06 -1.7289129806e-06 3.7048241914e-06 -1.1541252781e-09 1.2969042899e-09 4.3743341375e-06 2.4903371547e-09
